Sample	Percent	Start	End	amp_del
TCGA-09-2043-01	0	0	0	amp
TCGA-25-2397-01	0	0	0	amp
TCGA-25-2391-01	0	0	0	amp
TCGA-25-2409-01	0	0	0	amp
TCGA-29-2414-01	0	0	0	amp
TCGA-25-2042-01	0	0	0	amp
TCGA-09-2051-01	0	0	0	amp
TCGA-24-2298-01	0	0	0	amp
TCGA-29-2428-01	0	0	0	amp
TCGA-24-2289-01	0	0	0	amp
TCGA-13-2060-01	0	0	0	amp
TCGA-59-2363-01	0	0	0	amp
TCGA-24-2288-01	0	0	0	amp
TCGA-25-2398-01	0	0	0	amp
TCGA-09-2049-01	0	0	0	amp
TCGA-59-2348-01	0	0	0	amp
TCGA-29-2425-01	0	0	0	amp
TCGA-59-2354-01	0	0	0	amp
TCGA-25-2401-01	0	0	0	amp
TCGA-25-2400-01	0	0	0	amp
TCGA-59-2350-01	0	0	0	amp
TCGA-25-2393-01	0	0	0	amp
TCGA-13-1819-01	0	0	0	amp
TCGA-13-1817-02	0	0	0	amp
TCGA-61-1916-02	0	0	0	amp
TCGA-24-1852-02	0	0	0	amp
TCGA-61-2095-02	0	0	0	amp
TCGA-29-1710-02	0	0	0	amp
TCGA-13-1817-01	0	0	0	amp
TCGA-29-1692-01	0	0	0	amp
TCGA-29-1704-01	0	0	0	amp
TCGA-13-1819-02	0	0	0	amp
TCGA-29-1704-02	0	0	0	amp
TCGA-29-1692-02	0	0	0	amp
TCGA-24-1852-01	0	0	0	amp
TCGA-29-2414-02	0	0	0	amp
TCGA-23-2643-01	0	0	0	amp
TCGA-36-2543-01	0	0	0	amp
TCGA-13-2059-01	0	0	0	amp
TCGA-36-2542-01	0	0	0	amp
TCGA-36-2529-01	0	0	0	amp
TCGA-23-2641-01	0	0	0	amp
TCGA-13-2071-01	0	0	0	amp
TCGA-04-1369-01	0	0	0	amp
TCGA-36-2530-01	0	0	0	amp
TCGA-04-1644-01	0	0	0	amp
TCGA-29-2429-01	0	0	0	amp
TCGA-36-2552-01	0	0	0	amp
TCGA-29-2431-01	0	0	0	amp
TCGA-04-1516-01	0	0	0	amp
TCGA-61-2613-01	0	0	0	amp
TCGA-13-2066-01	0	0	0	amp
TCGA-23-2647-01	0	0	0	amp
TCGA-36-2549-01	0	0	0	amp
TCGA-36-2544-01	0	0	0	amp
TCGA-36-2548-01	0	0	0	amp
TCGA-13-2061-01	0	0	0	amp
TCGA-36-2532-01	0	0	0	amp
TCGA-61-2611-02	0	0	0	amp
TCGA-29-2434-01	0	0	0	amp
TCGA-42-2589-01	0	0	0	amp
TCGA-36-2539-01	0	0	0	amp
TCGA-23-2649-01	0	0	0	amp
TCGA-61-2612-01	0	0	0	amp
TCGA-36-2551-01	0	0	0	amp
TCGA-42-2588-01	0	0	0	amp
TCGA-42-2591-01	0	0	0	amp
TCGA-42-2587-01	0	0	0	amp
TCGA-42-2593-01	0	0	0	amp
TCGA-23-2645-01	0	0	0	amp
TCGA-61-2610-02	0	0	0	amp
TCGA-29-2432-01	0	0	0	amp
TCGA-36-2533-01	0	0	0	amp
TCGA-59-2372-01	0	0	0	amp
TCGA-29-A5NZ-01	0	0	0	amp
TCGA-3P-A9WA-01	0	0	0	amp
TCGA-13-A5FT-01	0	0	0	amp
TCGA-WR-A838-01	0	0	0	amp
TCGA-OY-A56Q-01	0	0	0	amp
TCGA-OY-A56P-01	0	0	0	amp
TCGA-5X-AA5U-01	0	0	0	amp
TCGA-13-A5FU-01	0	0	0	amp
TCGA-VG-A8LO-01	0	0	0	amp
TCGA-59-A5PD-01	0	0	0	amp
TCGA-13-0891-01	0	0	0	amp
TCGA-13-0807-01	0	0	0	amp
TCGA-10-0935-01	0	0	0	amp
TCGA-10-0928-01	0	0	0	amp
TCGA-13-0888-01	0	0	0	amp
TCGA-13-0904-01	0	0	0	amp
TCGA-13-0916-01	0	0	0	amp
TCGA-10-0933-01	0	0	0	amp
TCGA-13-0887-01	0	0	0	amp
TCGA-10-0927-01	0	0	0	amp
TCGA-13-0899-01	0	0	0	amp
TCGA-13-0889-01	0	0	0	amp
TCGA-13-0885-01	0	0	0	amp
TCGA-13-0890-01	0	0	0	amp
TCGA-10-0930-01	0	0	0	amp
TCGA-13-0920-01	0	0	0	amp
TCGA-13-0913-01	0	0	0	amp
TCGA-13-0919-01	0	0	0	amp
TCGA-13-0911-01	0	0	0	amp
TCGA-61-1728-01	0	0	0	amp
TCGA-57-1994-01	0	0	0	amp
TCGA-30-1860-01	0	0	0	amp
TCGA-31-1944-01	0	0	0	amp
TCGA-30-1862-01	0	0	0	amp
TCGA-24-1920-01	0	0	0	amp
TCGA-04-1654-01	0	0	0	amp
TCGA-57-1993-01	0	0	0	amp
TCGA-24-1924-01	0	0	0	amp
TCGA-25-1871-01	0	0	0	amp
TCGA-31-1950-01	0	0	0	amp
TCGA-25-1878-01	0	0	0	amp
TCGA-24-2020-01	0	0	0	amp
TCGA-30-1891-01	0	0	0	amp
TCGA-30-1861-01	0	0	0	amp
TCGA-31-1946-01	0	0	0	amp
TCGA-24-1928-01	0	0	0	amp
TCGA-25-1877-01	0	0	0	amp
TCGA-24-2023-01	0	0	0	amp
TCGA-30-1887-01	0	0	0	amp
TCGA-25-1870-01	0	0	0	amp
TCGA-61-1917-01	0	0	0	amp
TCGA-61-1918-01	0	0	0	amp
TCGA-30-1853-01	0	0	0	amp
TCGA-61-1724-01	0	0	0	amp
TCGA-24-2026-01	0	0	0	amp
TCGA-31-1953-01	0	0	0	amp
TCGA-57-1992-01	0	0	0	amp
TCGA-30-1866-01	0	0	0	amp
TCGA-31-1951-01	0	0	0	amp
TCGA-61-1919-01	0	0	0	amp
TCGA-24-2027-01	0	0	0	amp
TCGA-30-1880-01	0	0	0	amp
TCGA-29-1784-01	0	0	0	amp
TCGA-20-1685-01	0	0	0	amp
TCGA-09-1673-01	0	0	0	amp
TCGA-20-1686-01	0	0	0	amp
TCGA-29-1688-01	0	0	0	amp
TCGA-20-1684-01	0	0	0	amp
TCGA-24-1847-01	0	0	0	amp
TCGA-29-1711-01	0	0	0	amp
TCGA-29-1697-01	0	0	0	amp
TCGA-29-1701-01	0	0	0	amp
TCGA-20-1682-01	0	0	0	amp
TCGA-29-1690-01	0	0	0	amp
TCGA-29-1695-01	0	0	0	amp
TCGA-20-1683-01	0	0	0	amp
TCGA-29-1763-01	0	0	0	amp
TCGA-29-1702-01	0	0	0	amp
TCGA-09-1675-01	0	0	0	amp
TCGA-30-1718-01	0	0	0	amp
TCGA-29-1766-01	0	0	0	amp
TCGA-57-1586-01	0	0	0	amp
TCGA-29-1703-01	0	0	0	amp
TCGA-29-1698-01	0	0	0	amp
TCGA-20-1687-01	0	0	0	amp
TCGA-29-1691-01	0	0	0	amp
TCGA-29-1707-01	0	0	0	amp
TCGA-29-1761-01	0	0	0	amp
TCGA-09-1672-01	0	0	0	amp
TCGA-29-1705-01	0	0	0	amp
TCGA-09-1674-01	0	0	0	amp
TCGA-29-1781-01	0	0	0	amp
TCGA-29-1783-01	0	0	0	amp
TCGA-04-1655-01	0	0	0	amp
TCGA-29-1762-01	0	0	0	amp
TCGA-23-1809-01	0	0	0	amp
TCGA-29-1785-01	0	0	0	amp
TCGA-29-1694-01	0	0	0	amp
TCGA-23-1114-01	0	0	0	amp
TCGA-09-1670-01	0	0	0	amp
TCGA-29-1693-01	0	0	0	amp
TCGA-24-1425-01	0	0	0	amp
TCGA-24-1565-01	0	0	0	amp
TCGA-24-1604-01	0	0	0	amp
TCGA-24-1474-01	0	0	0	amp
TCGA-24-1552-01	0	0	0	amp
TCGA-24-1563-01	0	0	0	amp
TCGA-24-1603-01	0	0	0	amp
TCGA-24-1551-01	0	0	0	amp
TCGA-24-1614-01	0	0	0	amp
TCGA-24-1550-01	0	0	0	amp
TCGA-04-1542-01	0	0	0	amp
TCGA-24-1470-01	0	0	0	amp
TCGA-24-1616-01	0	0	0	amp
